cluster_id,size
0,367
1,600
2,372
3,788
4,787
5,421
6,430
7,559
8,396
9,206
10,525
11,604
12,546
13,581
14,238
15,862
16,656
17,274
18,1002
19,440
20,712
21,554
22,486
23,277
24,506
25,481
26,657
27,543
28,481
29,503
30,293
31,625
32,717
33,507
34,571
35,963
36,628
37,709
38,765
39,354
40,441
41,369
42,459
43,921
44,307
45,626
46,493
47,448
48,570
49,475
50,596
51,561
52,458
53,462
54,553
55,615
56,425
57,303
58,601
59,560
60,738
61,458
62,328
63,404
64,854
65,431
66,668
67,572
68,349
69,434
70,921
71,613
72,242
73,531
74,512
75,211
76,456
77,569
78,468
79,608
80,584
81,323
82,275
83,509
84,810
85,631
86,498
87,360
88,559
89,641
90,438
91,516
92,529
93,358
94,347
95,497
96,376
97,536
98,498
99,529
100,608
101,333
102,343
103,734
104,780
105,657
106,519
107,561
108,667
109,451
110,643
111,500
112,602
113,398
114,677
115,437
116,597
117,855
118,924
119,362
120,478
121,565
122,524
123,768
124,1060
125,324
126,682
127,542
128,351
129,497
130,625
131,560
132,459
133,376
134,931
135,500
136,392
137,489
138,613
139,475
140,545
141,587
142,724
143,649
144,401
145,403
146,516
147,692
148,911
149,840
150,423
151,372
152,473
153,403
154,642
155,734
156,533
157,424
158,228
159,511
160,656
161,396
162,348
163,528
164,518
165,607
166,415
167,416
168,815
169,834
170,566
171,444
172,348
173,394
174,472
175,350
176,292
177,337
178,531
179,814
180,583
181,249
182,633
183,378
184,510
185,383
186,517
187,363
188,596
189,908
190,476
191,591
192,517
193,376
194,419
195,712
196,333
197,722
198,480
199,744
200,147
201,458
202,1030
203,434
204,327
205,705
206,405
207,555
208,595
209,375
210,434
211,498
212,511
213,302
214,538
215,384
216,632
217,300
218,623
219,441
220,415
221,299
222,820
223,704
224,424
225,533
226,461
227,492
228,431
229,442
230,552
231,698
232,715
233,577
234,411
235,369
236,413
237,558
238,667
239,705
240,473
241,546
242,380
243,508
244,228
245,456
246,899
247,560
248,493
249,589
250,827
251,335
252,566
253,538
254,532
255,588
256,166
257,400
258,433
259,536
260,287
261,570
262,597
263,365
264,63
265,252
266,547
267,507
268,562
269,690
270,480
271,601
272,318
273,468
274,431
275,391
276,401
277,143
278,395
279,969
280,488
281,644
282,470
283,201
284,537
285,283
286,336
287,472
288,375
289,466
290,531
291,419
292,505
293,676
294,666
295,392
296,266
297,422
298,903
299,635
300,553
301,564
302,496
303,878
304,348
305,624
306,487
307,610
308,138
309,367
310,686
311,348
312,392
313,646
314,640
315,310
316,430
317,318
318,361
319,433
320,335
321,597
322,545
323,178
324,524
325,799
326,179
327,390
328,484
329,203
330,702
331,756
332,543
333,795
334,256
335,456
336,366
337,527
338,333
339,904
340,336
341,442
342,542
343,635
344,743
345,405
346,307
347,489
348,550
349,431
350,365
351,300
352,752
353,609
354,716
355,520
356,369
357,699
358,439
359,417
360,391
361,568
362,443
363,451
364,620
365,593
366,190
367,358
368,450
369,451
370,674
371,513
372,480
373,335
374,366
375,535
376,548
377,384
378,457
379,456
380,452
381,554
382,122
383,566
384,388
385,570
386,499
387,324
388,492
389,358
390,684
391,675
392,592
393,592
394,544
395,506
396,516
397,497
398,289
399,531
400,364
401,415
402,600
403,384
404,436
405,271
406,552
407,577
408,559
409,163
410,458
411,518
412,316
413,760
414,404
415,350
416,657
417,292
418,670
419,474
420,505
421,511
422,297
423,433
424,317
425,603
426,722
427,430
428,580
429,461
430,286
431,572
432,364
433,481
434,790
435,489
436,511
437,529
438,397
439,449
440,641
441,410
442,358
443,484
444,699
445,346
446,250
447,146
448,439
449,446
450,416
451,433
452,352
453,386
454,801
455,715
456,495
457,515
458,633
459,534
460,595
461,547
462,264
463,488
464,450
465,284
466,578
467,643
468,324
469,596
470,472
471,437
472,356
473,106
474,505
475,579
476,350
477,524
478,427
479,644
480,817
481,396
482,748
483,684
484,594
485,544
486,586
487,386
488,307
489,433
490,524
491,519
492,334
493,431
494,494
495,566
496,563
497,355
498,511
499,577
500,627
501,634
502,476
503,347
504,395
505,503
506,384
507,445
508,582
509,522
510,508
511,380
512,381
513,683
514,279
515,101
516,515
517,603
518,715
519,343
520,508
521,624
522,608
523,528
524,657
525,404
526,598
527,813
528,625
529,767
530,442
531,433
532,456
533,413
534,397
535,480
536,209
537,263
538,548
539,453
540,485
541,396
542,375
543,344
544,343
545,393
546,625
547,551
548,882
549,384
550,557
551,663
552,523
553,554
554,683
555,393
556,365
557,307
558,510
559,555
560,274
561,199
562,478
563,316
564,303
565,404
566,523
567,489
568,423
569,561
570,488
571,781
572,279
573,614
574,923
575,258
576,436
577,587
578,282
579,368
580,434
581,544
582,178
583,284
584,364
585,599
586,335
587,373
588,300
589,597
590,332
591,673
592,596
593,220
594,694
595,413
596,705
597,640
598,131
599,513
600,390
601,474
602,526
603,781
604,564
605,226
606,644
607,195
608,315
609,537
610,602
611,604
612,517
